scenario,controller,ablation,metric,environment_units,excluded_environment_units,exclusions,mean_change,paired_ci95_low,paired_ci95_high,status
C_relocation,recurrent-101,memory_reset,motor_energy_demand,30,0,[],-0.00839092366098209,-0.009738876344371462,-0.006988893604510495,completed
C_relocation,recurrent-101,memory_reset,escape_drive_integral,30,0,[],-0.7053404332076509,-0.796656382910426,-0.6047761983454228,completed
C_relocation,recurrent-202,memory_reset,food,30,0,[],0.013951049387454924,-0.02783962629362954,0.05314322512311236,completed
C_relocation,recurrent-202,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_relocation,recurrent-202,memory_reset,motor_energy_demand,30,0,[],-0.004430583982711037,-0.004828227189549804,-0.003955457558498161,completed
C_relocation,recurrent-202,memory_reset,escape_drive_integral,30,0,[],-0.09488851585984232,-0.10521734516359868,-0.08265099667621158,completed
C_relocation,recurrent-303,memory_reset,food,30,0,[],-0.05984233238051333,-0.17574853028580542,0.047773958040711745,completed
C_relocation,recurrent-303,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_relocation,recurrent-303,memory_reset,motor_energy_demand,30,0,[],0.0029104632020820476,0.0017957562924974927,0.003965801793613517,completed
C_relocation,recurrent-303,memory_reset,escape_drive_integral,30,0,[],0.15088288258202376,0.10860098549188116,0.19518396828846693,completed
C_unseen,feedforward-101,chemical_off,food,30,0,[],0.0,0.0,0.0,completed
C_unseen,feedforward-101,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_unseen,feedforward-101,chemical_off,motor_energy_demand,30,0,[],0.0016469060439220239,0.0014317502728795157,0.0018656555803316427,completed
C_unseen,feedforward-101,chemical_off,escape_drive_integral,30,0,[],0.00793482763071855,0.0008444821848844523,0.01403325961306691,completed
C_unseen,feedforward-202,chemical_off,food,30,0,[],0.0,0.0,0.0,completed
C_unseen,feedforward-202,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_unseen,feedforward-202,chemical_off,motor_energy_demand,30,0,[],-0.00033346000371376725,-0.00036045715175854736,-0.0003004350839750224,completed
C_unseen,feedforward-202,chemical_off,escape_drive_integral,30,0,[],-0.009828015128771466,-0.01067334473865728,-0.008759523732836054,completed
C_unseen,feedforward-303,chemical_off,food,30,0,[],0.0,0.0,0.0,completed
C_unseen,feedforward-303,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_unseen,feedforward-303,chemical_off,motor_energy_demand,30,0,[],3.0341618703678615e-05,2.7915250540913163e-05,3.2089448557608514e-05,completed
C_unseen,feedforward-303,chemical_off,escape_drive_integral,30,0,[],-0.0005043853626896952,-0.0005542137947399194,-0.0004500525967838876,completed
C_unseen,hybrid-101,memory_reset,food,30,0,[],-0.0012720070220530034,-0.0035052221156656746,0.0,completed
C_unseen,hybrid-101,memory_reset,collision_substeps,30,0,[],13.3,-3.8333333333333335,46.16916666666665,completed
C_unseen,hybrid-101,memory_reset,motor_energy_demand,30,0,[],-0.027752562053250766,-0.030221160301250837,-0.02561266146135846,completed
C_unseen,hybrid-101,memory_reset,escape_drive_integral,30,0,[],-1.729576850672563,-1.8753996985439205,-1.5967404218466328,completed
C_unseen,hybrid-202,memory_reset,food,30,0,[],0.0013662445445855465,0.0,0.004098733633756639,completed
C_unseen,hybrid-202,memory_reset,collision_substeps,30,0,[],-7.333333333333333,-11.200833333333332,-3.6666666666666665,completed
C_unseen,hybrid-202,memory_reset,motor_energy_demand,30,0,[],-0.027175181144922976,-0.028259202426256236,-0.026138030389178855,completed
C_unseen,hybrid-202,memory_reset,escape_drive_integral,30,0,[],-1.4541385846609869,-1.5233740484124048,-1.3886549533914774,completed
C_unseen,hybrid-303,memory_reset,food,30,0,[],-0.0016412172764539716,-0.004923651829361915,0.0,completed
C_unseen,hybrid-303,memory_reset,collision_substeps,30,0,[],-21.666666666666668,-33.6,-9.899166666666671,completed
C_unseen,hybrid-303,memory_reset,motor_energy_demand,30,0,[],-0.029754181406406063,-0.03105124342728759,-0.02841178066362819,completed
C_unseen,hybrid-303,memory_reset,escape_drive_integral,30,0,[],-1.819861041267713,-1.9019795814335347,-1.734673576153318,completed
C_unseen,recurrent-101,memory_reset,food,30,0,[],0.0,0.0,0.0,completed
C_unseen,recurrent-101,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_unseen,recurrent-101,memory_reset,motor_energy_demand,30,0,[],-0.011842815286487344,-0.01208817991002376,-0.011641202619803514,completed
C_unseen,recurrent-101,memory_reset,escape_drive_integral,30,0,[],-0.9285820756455262,-0.9448792701358598,-0.9129523666625222,completed
C_unseen,recurrent-202,memory_reset,food,30,0,[],0.0,0.0,0.0,completed
C_unseen,recurrent-202,memory_reset,collision_substeps,30,0,[],5.2,1.1333333333333333,10.6,completed
C_unseen,recurrent-202,memory_reset,motor_energy_demand,30,0,[],-0.005423558272053799,-0.005536955942753081,-0.005325774785470838,completed
C_unseen,recurrent-202,memory_reset,escape_drive_integral,30,0,[],-0.11303730808695159,-0.11457813365993401,-0.11145713822245601,completed
C_unseen,recurrent-303,memory_reset,food,30,0,[],0.0,0.0,0.0,completed
C_unseen,recurrent-303,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_unseen,recurrent-303,memory_reset,motor_energy_demand,30,0,[],-0.0033457893026967835,-0.0037000482803797967,-0.0030288338806090873,completed
C_unseen,recurrent-303,memory_reset,escape_drive_integral,30,0,[],-0.050194830079873395,-0.06034628763863196,-0.041182149465444205,completed
