controller,ablation,scenario,environment_seed,neural_repeat,status,completed_windows,simulation_seconds,wall_seconds,food,collision_substeps,motor_energy_demand,final_simulated_energy,escape_drive_integral,inference_mean_ms,reaction_seconds,recovery_seconds,reaction_status,recovery_status,baseline_escape_drive,preactivated,sampled_peak_process_rss_bytes,rss_sampling,reflex_interventions,physical_energy_debit,physical_energy_debit_status
connectome,none,A_translation,90016,0,completed,100,2.0,6.468820875001256,0.0,0,0.029149726336088342,0.820850273663912,1.7419703713020644,63.99304840058903,0.0,,responded,not_applicable,0.6427038022322986,True,373735424,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90017,0,completed,100,2.0,5.950932624997222,0.0,0,0.01905526059773693,0.8309447394022632,1.0836690039796901,58.87946377042681,0.1,,responded,not_applicable,0.0,False,372981760,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90018,0,completed,100,2.0,6.477515000005951,0.0,0,0.012362155391500642,0.8376378446084992,0.634454837170512,64.01166786978138,0.02,,responded,not_applicable,0.03686653615476586,False,373473280,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90019,0,completed,100,2.0,6.6201216250046855,0.0,0,0.02285038997936386,0.8271496100206354,1.331188739520364,65.49394955043681,0.28,,responded,not_applicable,0.0,False,373620736,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90020,0,completed,100,2.0,6.766004209013772,0.0,0,0.025044209971177872,0.8249557900288217,1.4756486661413877,66.95991701970343,0.08,,responded,not_applicable,0.0,False,374784000,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90021,0,completed,100,2.0,5.706163084003492,0.0,0,0.01646075735314675,0.8335392426468543,0.9004505892362934,56.44120628014207,0.36,,responded,not_applicable,0.0,False,374800384,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90022,0,completed,100,2.0,5.630246874992736,0.0,0,0.012938285295748156,0.8370617147042524,0.6682032632978432,55.7062733406201,0.18,,responded,not_applicable,0.0,False,374849536,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90023,0,completed,100,2.0,5.582271416991716,0.0,0,0.019552665096254238,0.8304473349037459,1.1099012366779852,55.23676079159486,0.02,,responded,not_applicable,0.2559618907937189,False,374882304,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90024,0,completed,100,2.0,5.37996624999505,0.0,0,0.026369410314521394,0.8236305896854784,1.556690521606614,53.287885439931415,0.02,,responded,not_applicable,0.27243299844769364,False,374882304,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90025,0,completed,100,2.0,5.248055125004612,0.0,0,0.016255177882930513,0.8337448221170695,0.9020549010845068,51.98013159955735,0.08,,responded,not_applicable,0.03686653615476586,False,374898688,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
